annee,population,sol_cultures_ha,sol_paturages_ha,sol_foret_ha,sol_artificiel_ha,mat_fossiles_t,mat_minerais_t,mat_mineraux_t,mat_biomasse_t,co2_t,sol_cultures_ha_hab,sol_paturages_ha_hab,sol_foret_ha_hab,sol_artificiel_ha_hab,mat_fossiles_t_hab,mat_minerais_t_hab,mat_mineraux_t_hab,mat_biomasse_t_hab,co2_t_hab,mat_non_renouv_t_hab
2003,60741121.000000,22971548.222343,21706745.208430,53297268.288608,0.000000,289233042.703319,59338208.019314,489150686.373759,109698673.239719,437430527.854299,0.378188,0.357365,0.877450,0.000000,4.761734,0.976903,8.053040,1.806003,7.201555,13.791677
2004,61175243.000000,22824774.609166,20230641.764567,77472134.011424,0.000000,299043110.064566,59113647.034989,513156605.437289,111655951.390280,455442962.715613,0.373105,0.330700,1.266397,0.000000,4.888303,0.966300,8.388305,1.825182,7.444890,14.242908
2005,61625030.000000,21797824.720732,20361021.681408,80072141.856975,0.000000,252149057.054457,68816328.426918,584391723.462866,112439196.753817,446459132.456481,0.353717,0.330402,1.299344,0.000000,4.091666,1.116694,9.483025,1.824570,7.244769,14.691386
2006,62049831.000000,22035291.937063,22990122.339745,78749608.272587,0.000000,263239497.555496,74093322.376145,643496853.921124,115631291.277534,448061544.405339,0.355123,0.370511,1.269135,0.000000,4.242389,1.194094,10.370646,1.863523,7.220995,15.807129
2007,62432438.000000,23217285.715585,19596322.092673,56357359.312751,0.000000,231745025.484419,79952472.200892,580109253.705090,118696985.977760,455168525.811363,0.371879,0.313880,0.902694,0.000000,3.711933,1.280624,9.291792,1.901207,7.290577,14.284349
2008,62780187.000000,20735760.102993,18718597.256035,65470862.149680,0.000000,241155782.114293,80759668.428824,643589647.208560,113436989.351941,466336970.857728,0.330291,0.298161,1.042859,0.000000,3.841272,1.286388,10.251477,1.806892,7.428091,15.379137
2009,63106461.000000,21205844.676812,16224255.898637,56691001.627505,0.000000,198992044.054196,61555357.505040,480376433.473041,111034516.959845,410436483.917193,0.336033,0.257093,0.898339,0.000000,3.153275,0.975421,7.612159,1.759479,6.503874,11.740855
2010,63417366.000000,20993578.994037,16120731.538813,50615852.770249,0.000000,193895357.758898,65245363.185341,586641982.872105,103685510.315855,429964802.359532,0.331038,0.254201,0.798139,0.000000,3.057449,1.028825,9.250494,1.634970,6.779922,13.336768
2011,63733777.000000,20136149.103010,16596615.177672,61117305.644404,0.000000,192177267.435242,73048160.623838,559793163.716527,100578108.750026,436422470.122403,0.315942,0.260405,0.958947,0.000000,3.015313,1.146145,8.783304,1.578097,6.847585,12.944762
2012,64058465.000000,19089935.967854,17953063.219601,49985896.758572,0.000000,170434411.717157,74106061.176118,677638655.632720,99481114.731136,422863389.057762,0.298008,0.280261,0.780317,0.000000,2.660607,1.156850,10.578440,1.552974,6.601210,14.395898
